Date,MSCI_World,MSCI_EM
2011-12-13,1588.5663,27.2084
2011-12-14,1556.1266,26.8170
2011-12-15,1565.1093,26.9910
2011-12-16,1567.6051,27.1939
2011-12-19,1552.6329,26.4909
2011-12-20,1569.1019,27.6009
2011-12-21,1562.1149,27.6887
2011-12-22,1580.5809,28.0546
2011-12-23,1596.0527,28.1644
2011-12-28,1599.5463,27.4253
2011-12-29,1619.0098,27.7400
2011-12-30,1618.0116,27.7619
2012-01-03,1635.9786,28.6107
2012-01-04,1626.4962,28.4497
2012-01-05,1631.4869,28.3253
2012-01-06,1635.9786,27.9668
2012-01-09,1630.4885,28.2595
2012-01-10,1654.9437,28.8741
2012-01-11,1657.4391,28.8961
2012-01-12,1662.9292,29.0132
2012-01-13,1657.4391,28.7497
2012-01-17,1675.4058,29.2985
2012-01-18,1674.4076,30.0376
2012-01-19,1690.3779,30.3010
2012-01-20,1680.3965,30.2791
2012-01-23,1687.8831,30.5717
2012-01-24,1678.4003,30.6156
2012-01-25,1679.8976,30.9596
2012-01-26,1689.3801,30.8352
2012-01-27,1680.3965,30.9962
2012-01-30,1664.9252,30.5498
2012-01-31,1660.9324,30.8132
2012-02-01,1682.8922,31.4937
2012-02-02,1684.8883,31.5815
2012-02-03,1707.3466,32.1084
2012-02-06,1702.8545,31.8376
2012-02-07,1703.8535,31.9035
2012-02-08,1711.8384,32.1303
2012-02-09,1712.8367,32.1157
